Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,9.74,66.41,31.84,27.19,23.3,33.38,48.3,87.29,139.15,228.36,397.22,684.25,1088.11,1526.02,1921.3,2238.98,2456.98,2596.8,2685.44,2743.67,2783.4,2807.86,2825.28,2837.91,2848.5,2857.56,2863.06,2869.29,2877.09,2898.43,2930.07,2970.86,3009.48,3045.52,3076.69,3103.21,3123.74,3139.7,3153.4,3166.2,3179.21
A2,amp0,SYBR,9.72,37.65,32.94,38.11,39.09,53.29,70.62,101.71,158.69,256.5,417.94,684.53,1060.48,1490.76,1875.06,2174.98,2379.09,2505.78,2584.0,2632.71,2666.49,2688.78,2706.44,2719.45,2731.53,2739.7,2744.56,2747.95,2752.33,2763.53,2789.08,2823.93,2865.46,2898.73,2931.6,2955.31,2979.04,2998.09,3013.31,3024.78,3033.45
A11,amp0,SYBR,16.02,18.7,10.07,3.37,2.96,1.65,-2.89,2.62,-0.37,-4.64,1.53,6.96,26.56,56.61,112.69,214.45,363.0,605.08,928.6,1272.9,1529.55,1731.32,1859.36,1933.86,1975.4,2003.08,2019.56,2032.39,2038.66,2044.06,2048.38,2051.74,2055.63,2056.75,2059.86,2062.54,2070.7,2082.12,2103.67,2130.22,2161.75
A12,amp0,SYBR,16.01,10.76,9.48,6.47,2.56,-2.37,-0.83,1.32,-7.2,-2.67,-2.01,11.64,23.44,56.6,108.78,208.56,369.12,606.81,919.53,1245.97,1478.56,1656.8,1770.84,1833.77,1870.61,1890.42,1904.14,1914.2,1920.1,1924.37,1927.72,1930.44,1933.04,1935.93,1944.64,1952.03,1966.77,1979.53,1994.73,2008.15,2024.6
B1,amp0,SYBR,19.49,7.61,7.72,7.08,2.16,1.38,2.26,0.22,-4.61,0.28,-3.7,-6.88,-4.8,1.3,4.13,11.23,33.83,73.18,141.04,260.2,458.3,767.6,1174.46,1595.31,1952.74,2210.92,2377.25,2473.79,2531.65,2563.61,2587.34,2601.84,2613.26,2620.2,2628.5,2638.82,2648.57,2667.97,2691.34,2721.37,2747.7
B2,amp0,SYBR,19.72,10.03,5.6,9.29,3.32,1.87,-0.51,-2.47,-2.61,-1.48,-6.95,-0.91,-2.2,-1.64,1.11,14.52,36.19,70.13,124.86,233.81,408.32,691.33,1080.42,1494.46,1856.99,2135.69,2319.44,2431.36,2500.04,2541.8,2573.55,2591.75,2608.77,2620.18,2632.63,2642.72,2653.34,2669.13,2694.01,2723.28,2752.94
B3,amp0,SYBR,19.79,8.36,6.59,1.66,5.85,0.95,3.5,2.83,1.94,-7.62,-1.96,-2.76,-4.29,-2.39,7.88,8.6,33.59,63.43,120.42,225.44,395.95,667.49,1044.82,1478.2,1862.89,2160.11,2358.63,2479.3,2552.75,2595.79,2622.46,2638.52,2652.23,2661.91,2669.87,2673.66,2678.97,2688.24,2709.02,2732.37,2755.94
B4,amp0,SYBR,19.89,10.69,5.34,3.62,3.71,-1.1,2.52,1.37,1.06,-1.55,-3.02,-2.4,0.08,-0.16,1.92,7.64,32.43,64.12,121.02,218.4,379.51,639.79,999.7,1415.86,1782.87,2059.59,2238.84,2348.22,2415.32,2457.13,2487.24,2505.54,2518.44,2519.16,2530.84,2534.99,2539.88,2543.14,2560.21,2582.65,2603.34
B5,amp0,SYBR,20.02,6.26,6.48,2.47,3.99,2.51,1.52,0.99,-1.98,0.01,-1.88,-0.72,-1.89,-3.47,3.26,9.32,23.5,54.73,106.97,203.1,367.21,602.86,954.55,1369.77,1716.34,1996.7,2185.83,2299.48,2366.38,2410.26,2435.34,2450.77,2460.42,2470.27,2477.48,2481.56,2487.02,2498.71,2518.65,2542.86,2567.46
B6,amp0,SYBR,19.71,12.3,3.21,4.93,6.18,-0.56,0.14,-0.64,1.63,-1.3,-0.7,-3.31,-4.95,1.27,4.18,9.2,30.31,67.69,126.82,234.96,412.9,693.06,1088.54,1524.95,1912.39,2210.14,2409.1,2525.24,2595.49,2636.73,2664.31,2682.25,2694.71,2706.22,2712.91,2717.35,2723.36,2734.77,2757.51,2782.44,2809.39
