Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,12.91,26.16,12.97,6.1,1.92,-0.55,-0.57,2.38,5.83,27.78,58.59,107.43,194.31,331.7,527.08,796.04,1128.03,1453.13,1756.32,2011.04,2212.39,2359.05,2464.66,2538.26,2591.62,2628.31,2655.95,2675.8,2690.54,2701.44,2707.64,2712.01,2713.11,2715.69,2714.18,2711.61,2708.55,2705.78,2701.04,2696.17,2694.27
A2,amp0,SYBR,12.18,18.92,15.47,17.59,18.95,21.67,28.99,37.52,53.45,79.55,123.16,191.37,300.88,468.49,704.51,1024.94,1383.28,1727.38,2033.56,2280.05,2463.17,2594.03,2686.78,2752.47,2801.18,2836.51,2861.48,2880.27,2896.07,2910.56,2921.37,2930.0,2933.57,2939.65,2941.89,2948.53,2949.04,2950.65,2948.45,2948.01,2947.2
A11,amp0,SYBR,24.09,10.55,6.88,3.39,3.89,6.79,0.94,-1.66,1.77,0.3,-1.9,-2.03,-3.01,-6.78,-3.8,-3.75,-2.29,-0.51,4.85,15.08,29.39,53.7,102.81,176.38,299.14,486.89,749.23,1080.92,1440.88,1771.5,2047.16,2259.73,2408.01,2510.03,2578.85,2627.8,2660.83,2683.99,2701.24,2714.59,2724.43
A12,amp0,SYBR,23.82,4.21,2.85,3.18,2.99,0.87,-0.42,1.39,-1.47,1.19,0.58,-2.18,-0.85,-2.34,-3.77,-2.58,-2.2,1.59,11.23,20.34,35.22,69.4,119.08,207.7,342.66,546.27,830.94,1178.04,1513.61,1815.83,2055.46,2232.51,2354.3,2438.35,2494.58,2532.51,2558.94,2576.86,2593.11,2603.27,2610.19
A13,amp0,SYBR,27.85,8.86,6.24,4.89,5.94,2.54,0.04,2.47,1.79,0.09,0.34,-0.8,-3.54,-2.81,-1.7,-6.0,-3.75,-7.44,-6.38,-2.24,-1.37,1.17,8.98,16.24,35.8,65.92,116.04,201.54,337.27,541.08,827.29,1201.2,1578.63,1941.45,2249.98,2487.57,2656.98,2771.84,2852.49,2907.61,2950.98
A14,amp0,SYBR,27.24,5.53,3.8,3.49,2.59,0.85,4.39,-0.41,-0.2,0.21,-2.22,-0.47,-1.75,-2.09,-4.15,-2.33,-4.56,-2.98,0.7,4.61,10.99,18.45,31.02,52.67,80.6,126.48,194.83,301.99,458.04,679.36,970.43,1305.92,1625.39,1910.87,2135.97,2303.66,2418.14,2499.11,2551.8,2591.18,2622.21
A15,amp0,SYBR,27.05,9.22,6.88,2.24,3.8,1.93,3.08,1.95,2.27,1.05,-1.57,-3.37,-3.37,-1.74,-3.12,-2.3,0.84,-2.54,-2.07,-2.9,-0.25,2.47,13.99,26.43,51.31,98.44,179.43,303.39,497.74,771.44,1109.95,1445.68,1744.08,1981.72,2151.86,2267.97,2344.92,2396.89,2430.72,2452.7,2468.18
A16,amp0,SYBR,32.49,2.38,-0.27,1.78,4.83,2.62,2.29,2.07,1.87,2.52,-1.15,0.22,-3.96,-2.83,0.56,-3.54,-3.16,-1.97,-3.35,-0.44,-3.56,-2.38,-2.15,-4.36,2.92,1.09,3.91,13.73,25.31,47.96,87.62,146.41,245.85,398.57,626.75,936.54,1310.18,1671.43,1995.68,2257.65,2473.23
A17,amp0,SYBR,32.29,3.18,2.42,-0.41,3.59,3.6,1.67,0.53,-0.18,2.17,0.42,2.56,1.57,-1.8,0.86,-0.23,-1.27,-5.75,-3.95,-2.39,-2.18,-2.98,-3.62,-1.2,-0.85,1.61,4.77,12.74,26.94,51.28,91.57,160.01,266.93,438.66,690.02,1027.01,1406.6,1765.38,2078.11,2322.16,2514.46
A18,amp0,SYBR,31.77,8.1,2.71,1.98,4.29,0.49,0.19,1.39,1.37,2.19,0.6,-2.21,1.84,-1.0,-2.75,-1.83,-0.4,-4.54,-0.72,0.18,-1.88,-2.24,-0.47,-2.02,0.6,3.25,10.65,16.35,38.13,69.05,117.79,208.86,349.61,558.98,854.8,1215.34,1559.39,1862.72,2103.84,2276.23,2404.12
